Field,Resource Key,Local translation
Name,/Home/Navigation Container/CRM Link Repository/SignIn,SE CONNECTER
Name,/Home/Navigation Container/CRM Link Repository/Register,CRÉER MON COMPTE
Name,/Home/Navigation Container/Header Repository/Information Pratiques,PLANS & HORAIRES
Name,/Home/Navigation Container/Header Repository/Boutiques,BOUTIQUES & RESTAURANTS 
Name,/Home/Navigation Container/Header Repository/Bons Plan,BONS PLANS
Name,/Home/Navigation Container/Header Repository/Evenements,ÉVÈNEMENTS 
Name,/Home/Navigation Container/Header Repository/Cinema,À L'ÉCRAN
Name,/Home/Navigation Container/Header Repository/Services,SERVICES 
Phrase,/Resource Keys/Search/SearchFieldPlaceholder,RECHERCHE
Name,/Home/Navigation Container/Header Repository/Information Pratiques,Plans & Horaires
Name,/Home/Navigation Container/Header Repository/Boutiques,Boutiques & Restaurants 
Name,/Home/Navigation Container/Header Repository/Bons Plan,Bons plans
Name,/Home/Navigation Container/Header Repository/Evenements,Évènements 
Name,/Home/Navigation Container/Header Repository/Cinema,À l'écran
Name,/Home/Navigation Container/Header Repository/Services,Services 
Phrase,/Resource Keys/Search/SearchFieldPlaceholder,Recherche 
Name,/Resource Keys/Navigation/Mall Social Media,Vous avez quitté Odysseum ? L'aventure continue sur les réseaux sociaux !
Name,/Home/Navigation Container/Footer Repository/Social Media Repository/Facebook,Facebook
Name,/Home/Navigation Container/Footer Repository/Social Media Repository/Instagram,Instagram
Name,/Home/Navigation Container/Footer Repository/Mall,ODYSSEUM & VOUS
Name,/Home/Navigation Container/Footer Repository/Mall/Informations pratiques,Plans & Horaires
Name,/Home/Navigation Container/Footer Repository/Mall/Boutiques,Boutiques & Restaurants
Name,/Home/Navigation Container/Footer Repository/Mall/Bons plans,Bons plans
Name,/Home/Navigation Container/Footer Repository/Mall/Evenements,Évènements
Name,/Home/Navigation Container/Footer Repository/Mall/Actus,Actualités
Name,/Home/Navigation Container/Footer Repository/Mall/Services,Services 
Name,/Home/Navigation Container/Footer Repository/Contact,CONTACT
Name,/Home/Navigation Container/Footer Repository/Contact/Louer un emplacement temporaire,Nous rejoindre
Name,/Home/Navigation Container/Footer Repository/Contact/Louer un local,Louer un emplacement permanent
Name,/Home/Navigation Container/Footer Repository/Contact/Nous Contacter,Louer un emplacement temporaire
Name,/Home/Navigation Container/Footer Repository/Contact/Votre Centre recrute,Nous contacter
Name,/Home/Navigation Container/Footer Repository/Newsletter Subscription,Rester informé
Name,/Home/Navigation Container/Footer Repository/Newsletter Subscription,"Personne, nous disons bien personne, n'aime être mis à l'écart. Inscrivez-vous à notre newsletter pour ne rien rater de notre actualité. "
Name,/Home/Navigation Container/Footer Repository/Newsletter Subscription,Exemple@gmail.com
Name,/Home/Navigation Container/Footer Repository/Mobile App Repository,Le fun à portée de main 
Name,/Home/Navigation Container/Footer Repository/Mobile App Repository,N'attendez pas d'être à la maison. Poursuivez l'aventure en téléchargeant notre application mobile
